Resp_ID,Pub_ID,Last _Active,Infr_fail_problm,Zoom_infr,Lat_infr,Long_infr,WKT_infr,GeoJSON_infr,Specify,Other
,,,geo-point-14,zoom,lat,lon,wkt,geojson,radio-button-list-15: label en,text-entry-33
3pn9tla7idv9,99sc4lcu2kj8,2024-08-28 09:38:13,"78.225737,15.619198",14.96,78.225737,15.619198,POINT (15.619198 78.225737),"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[15.619198,78.225737]}}",Both,
3hi7cbx9rre4,99sc4lcu2kj8,2024-08-28 11:11:18,"78.21636,15.645483",13.83,78.21636,15.645483,POINT (15.645483 78.21636),"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[15.645483,78.21636]}}",Both,Avalanche protection - can cause massive damage to property and people
2w9a9vfl8k44,4bmd34mc9ub6,2024-08-30 09:55:39,"78.225302,15.621476",13.99,78.225302,15.621476,POINT (15.621476 78.225302),"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[15.621476,78.225302]}}",Environmental issues,
2w9a9vfl8k44,4bmd34mc9ub6,2024-08-30 09:55:39,"78.171127,15.915013",11.76,78.171127,15.915013,POINT (15.915013 78.171127),"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[15.915013,78.171127]}}",Both,
2w9a9vfl8k44,4bmd34mc9ub6,2024-08-30 09:55:39,"78.216005,15.676472",13.47,78.216005,15.676472,POINT (15.676472 78.216005),"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[15.676472,78.216005]}}",Both,
2w9a9vfl8k44,4bmd34mc9ub6,2024-08-30 09:55:39,"78.247279,15.497884",13.47,78.247279,15.497884,POINT (15.497884 78.247279),"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[15.497884,78.247279]}}",Both,
4tb8w8w92vn9,666js48djf88,2024-08-30 12:04:49,"78.225721,15.619021",16.24,78.225721,15.619021,POINT (15.619021 78.225721),"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[15.619021,78.225721]}}",Both,
4tb8w8w92vn9,666js48djf88,2024-08-30 12:04:49,"78.158021,16.027582",12.88,78.158021,16.027582,POINT (16.027582 78.158021),"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[16.027582,78.158021]}}",Both,
4tb8w8w92vn9,666js48djf88,2024-08-30 12:04:49,"78.241661,15.534086",14.47,78.241661,15.534086,POINT (15.534086 78.241661),"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[15.534086,78.241661]}}",Both,
7ug4p9lz8t87,72bh4bsl3map,2024-08-31 10:44:26,"78.203588,15.611189",14.66,78.203588,15.611189,POINT (15.611189 78.203588),"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[15.611189,78.203588]}}",Other,Just can fall on the road and block ti
9iw8vsg6eoc9,72bh4bsl3map,2024-09-05 14:46:54,"78.21304,15.745915",12.7,78.21304,15.745915,POINT (15.745915 78.21304),"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[15.745915,78.21304]}}",Both,"This is the dam that holds the drinking water supply. If this fails we will miss our drinking water very quickly, which will also be able to cause health issues."
9b9236pz3ml6,42o34ldj8ue8,2024-09-09 08:17:37,"78.213674,15.604491",16.43,78.213674,15.604491,POINT (15.604491 78.213674),"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[15.604491,78.213674]}}",Health issues,Graveyard preserved deceases
849g2geu6ie7,42o34ldj8ue8,2024-11-10 20:18:22,"78.224907,15.612918",14.7,78.224907,15.612918,POINT (15.612918 78.224907),"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[15.612918,78.224907]}}",Both,Diesel leak
849g2geu6ie7,42o34ldj8ue8,2024-11-10 20:18:22,"78.222958,15.644276",15.7,78.222958,15.644276,POINT (15.644276 78.222958),"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[15.644276,78.222958]}}",Both,Leak from exploding diesel engines (has happened many times since power supply was changed from coal to diesel)
849g2geu6ie7,42o34ldj8ue8,2024-11-10 20:18:22,"78.216025,15.675716",14.7,78.216025,15.675716,POINT (15.675716 78.216025),"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[15.675716,78.216025]}}",Health issues,Legionella found in water infra
849g2geu6ie7,42o34ldj8ue8,2024-11-10 20:18:22,"78.213907,15.739512",13.7,78.213907,15.739512,POINT (15.739512 78.213907),"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[15.739512,78.213907]}}",Both,"Contaminants in the water reservoir, caused by a vehicle driving into Isdammen (has happened many times)"
