Resp_ID,Pub_ID,Last_Active,PSymb_mean,Zoom,Lat,Long,WKT,GeoJSON,What_is_it
3pn9tla7idv9,99sc4lcu2kj8,2024-08-28 09:38:13,"78.217137,15.612712",14.25,78.217137,15.612712,POINT (15.612712 78.217137),"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[15.612712,78.217137]}}",Graveyard
3pn9tla7idv9,99sc4lcu2kj8,2024-08-28 09:38:13,"78.202577,15.576078",14.25,78.202577,15.576078,POINT (15.576078 78.202577),"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[15.576078,78.202577]}}",Ord mining town
88wmh4yec6b4,2sc9khl78dla,2024-08-29 10:23:39,"78.22523,15.636373",12.2,78.22523,15.636373,POINT (15.636373 78.22523),"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[15.636373,78.22523]}}",Old boathouses that have charme
4tb8w8w92vn9,666js48djf88,2024-08-30 12:04:49,"78.251527,15.747194",9.13,78.251527,15.747194,POINT (15.747194 78.251527),"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[15.747194,78.251527]}}",Old mining settlement
8ux6yn2epu28,72bh4bsl3map,2024-08-31 11:01:59,"78.218277,15.638846",17.26,78.218277,15.638846,POINT (15.638846 78.218277),"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[15.638846,78.218277]}}",Karlsberger Pub
8ux6yn2epu28,72bh4bsl3map,2024-08-31 11:01:59,"78.222533,15.651507",15.54,78.222533,15.651507,POINT (15.651507 78.222533),"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[15.651507,78.222533]}}",Svalbard museum
8ux6yn2epu28,72bh4bsl3map,2024-08-31 11:01:59,"78.222057,15.633356",17.14,78.222057,15.633356,POINT (15.633356 78.222057),"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[15.633356,78.222057]}}",Mary Anns hotel
4dg237h3k94y,72bh4bsl3map,2024-09-03 07:50:18,"78.188877,15.441136",11.62,78.188877,15.441136,POINT (15.441136 78.188877),"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[15.441136,78.188877]}}",On top of the mouintan
7jlu2iyb33g6,72bh4bsl3map,2024-09-06 07:57:50,"78.371154,17.03964",9.36,78.371154,17.03964,POINT (17.03964 78.371154),"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[17.03964,78.371154]}}",Fredheiim: important place to visit
7jlu2iyb33g6,72bh4bsl3map,2024-09-06 07:57:50,"78.917569,11.94446",7.77,78.917569,11.94446,POINT (11.94446 78.917569),"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[11.94446,78.917569]}}",important mining and research location
7jlu2iyb33g6,72bh4bsl3map,2024-09-06 07:57:50,"80.050766,18.227645",10.1,80.050766,18.227645,POINT (18.227645 80.050766),"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[18.227645,80.050766]}}",Kinnvika: Important research location IPY 1957 & 2007
7jlu2iyb33g6,72bh4bsl3map,2024-09-06 07:57:50,"77.890976,16.671595",8.59,77.890976,16.671595,POINT (16.671595 77.890976),"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[16.671595,77.890976]}}",Svea former mining location
7uf2783va4h4,42o34ldj8ue8,2024-09-09 11:12:13,"78.223605,15.61655",14.89,78.223605,15.61655,POINT (15.61655 78.223605),"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[15.61655,78.223605]}}",
7uf2783va4h4,42o34ldj8ue8,2024-09-09 11:12:13,"78.203573,15.593603",15.22,78.203573,15.593603,POINT (15.593603 78.203573),"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[15.593603,78.203573]}}",
849g2geu6ie7,42o34ldj8ue8,2024-11-10 20:18:22,"78.656088,17.004933",8.2,78.656088,17.004933,POINT (17.004933 78.656088),"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[17.004933,78.656088]}}","Nordenskiöldbreen, seeing it melt more and more every year"
849g2geu6ie7,42o34ldj8ue8,2024-11-10 20:18:22,"78.328794,18.845343",8.2,78.328794,18.845343,POINT (18.845343 78.328794),"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[18.845343,78.328794]}}","East Coast, accessible spot where you can see how the sea ice changes each year"
849g2geu6ie7,42o34ldj8ue8,2024-11-10 20:18:22,"78.156788,16.038245",10.2,78.156788,16.038245,POINT (16.038245 78.156788),"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[16.038245,78.156788]}}","Gruve 7, coal mine"
849g2geu6ie7,42o34ldj8ue8,2024-11-10 20:18:22,"78.249898,15.424807",10.2,78.249898,15.424807,POINT (15.424807 78.249898),"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[15.424807,78.249898]}}","Vestpynten, cabin area outside town"
